Category,Name,Description,Price,Variants,Addons,Badge
Signature Kebabs,Arabic Shawarma,Authentic Middle Eastern spiced chicken slow-roasted and thinly sliced wrapped in fresh pita with garlic toum.,249,Chicken|Mutton,Extra Cheese|Extra Toum,MUST TRY
Signature Kebabs,Angara Shawarma,Spicy Indian-fusion shawarma with fiery charcoal-smoked marinade and mint chutney.,229,Chicken|Paneer,Extra Spicy|Cheese,HOT
Signature Kebabs,Peshawari Kebab,Tender morsels of meat marinated in rich cream cashew paste and mild Peshawari spices grilled to perfection.,349,Chicken|Mutton,,MUST TRY
Signature Kebabs,Changezi Kebab,Bold rustic flavors from the streets of Old Delhi marinated in yogurt and fiery red chilies.,329,Chicken,,
Seekh Kebabs,Mutton Seekh Kebab,Minced mutton blended with aromatic spices fresh coriander and green chilies skewered and char-grilled.,399,Mutton,Roomali Roti,MUST TRY
Seekh Kebabs,Chicken Seekh Kebab,Ground chicken mixed with ginger-garlic paste green chillies and traditional spices char-grilled on skewers.,379,Chicken,Roomali Roti,
Seekh Kebabs,Paneer Seekh Kebab,Crumbled cottage cheese with fresh herbs and mild spices grilled to golden perfection.,329,Paneer,Roomali Roti,
Seekh Kebabs,Hariyali Seekh Kebab,Green herb and spinach infused seekh kebab with mint coriander and fresh cream.,359,Chicken|Paneer,,
Bread & Wraps,Butter Naan,Soft pillowy naan brushed with aromatic garlic butter.,89,Regular|Cheese|Garlic,,
Bread & Wraps,Roomali Roti,Thin crispy flatbread perfect for wrapping kebabs.,49,Plain|Butter,,
Bread & Wraps,Peshawari Naan,Naan stuffed with dry fruits and nuts.,129,Plain|Cheese,,
Bread & Wraps,Lachha Paratha,Flaky layered Indian flatbread with butter and caramelized onions.,99,Plain|Cheese|Paneer,,
Appetizers,Tandoori Platter,Assorted grilled chicken mushrooms tomatoes and paneer with tandoori spices.,449,Mixed,Extra Spice Paste,
Appetizers,Kebab Samosa,Crispy pastry pockets filled with minced kebab meat and spices.,149,Chicken|Lamb,Sweet Chutney|Green Chutney,
Appetizers,Paneer Tikka,Grilled cottage cheese cubes marinated in yogurt and spices.,229,Paneer,Mint Chutney,
Beverages,Sweet Lassi,Chilled yogurt drink sweetened with cardamom and rose.,89,Regular|Thick,Extra Cardamom,
Beverages,Mango Lassi,Creamy yogurt blended with fresh mango puree.,119,Regular|Thick,Extra Mango,
Beverages,Masala Chai,Aromatic Indian tea brewed with traditional spices.,59,Hot|Cold,,
Desserts,Kheer,Creamy rice pudding with nuts and a hint of cardamom.,129,Regular|Large,,
Desserts,Gulab Jamun,Soft milk solids in light sugar syrup with rose water.,109,3 Pieces|5 Pieces,,
Desserts,Falooda,Chilled vermicelli dessert with basil seeds ice cream and rose syrup.,149,Regular|Large,,
