id,sessionId,amount,paymentMethod,paymentStatus,transactionRef,verifiedByAdminId,verifiedByName,paidAt,createdAt
1,2,339150,cash,completed,CASH-1774217114461,,,Sun Mar 22 2026 22:05:14 GMT+0000 (Coordinated Universal Time),Sun Mar 22 2026 22:04:17 GMT+0000 (Coordinated Universal Time)
2,3,62790,upi,pending,UPI-INTENT-3-1774218880795,,,,Sun Mar 22 2026 22:34:40 GMT+0000 (Coordinated Universal Time)
3,3,62790,cash,completed,CASH-INTENT-1774218888982,1,aamir,Sun Mar 22 2026 23:03:54 GMT+0000 (Coordinated Universal Time),Sun Mar 22 2026 22:34:48 GMT+0000 (Coordinated Universal Time)
4,4,86835,cash,pending_verification,UPI-INTENT-4-1774220702990,,,,Sun Mar 22 2026 23:05:02 GMT+0000 (Coordinated Universal Time)
5,4,86835,upi,completed,UPI-INTENT-4-1774220709240,1,aamir,Sun Mar 22 2026 23:08:06 GMT+0000 (Coordinated Universal Time),Sun Mar 22 2026 23:05:09 GMT+0000 (Coordinated Universal Time)
6,5,195825,upi,completed,UPI-INTENT-5-1774289825123,1,aamir,Mon Mar 23 2026 18:18:04 GMT+0000 (Coordinated Universal Time),Mon Mar 23 2026 18:17:05 GMT+0000 (Coordinated Universal Time)
7,6,335475,cash,pending_verification,UPI-INTENT-6-1774290444332,,,,Mon Mar 23 2026 18:27:24 GMT+0000 (Coordinated Universal Time)
8,6,335475,upi,completed,UPI-INTENT-6-1774290483323,1,aamir,Mon Mar 23 2026 18:28:11 GMT+0000 (Coordinated Universal Time),Mon Mar 23 2026 18:28:03 GMT+0000 (Coordinated Universal Time)
9,7,50190,upi,completed,UPI-INTENT-7-1774337079378,1,aamir,Tue Mar 24 2026 07:24:56 GMT+0000 (Coordinated Universal Time),Tue Mar 24 2026 07:24:39 GMT+0000 (Coordinated Universal Time)
10,8,184275,upi,completed,UPI-INTENT-8-1774345660504,1,aamir,Tue Mar 24 2026 09:48:13 GMT+0000 (Coordinated Universal Time),Tue Mar 24 2026 09:47:40 GMT+0000 (Coordinated Universal Time)
11,9,50190,upi,completed,UPI-INTENT-9-1774436560259,1,aamir,Wed Mar 25 2026 11:18:11 GMT+0000 (Coordinated Universal Time),Wed Mar 25 2026 11:02:40 GMT+0000 (Coordinated Universal Time)
