id,categoryId,name,description,price,priceValue,variants,addons,badge,imageUrl,type,spiceLevel,isAvailable,prepTimeMinutes,sortOrder,isActive
1,1,Arabic Shawarma,"Authentic Middle Eastern spiced chicken, slow-roasted and thinly sliced, wrapped in fresh pita with garlic toum.",₹249,24900,"[""Chicken"",""Mutton""]","[""Extra Cheese"",""Extra Toum""]",MUST TRY,,non_veg,2,true,12,0,true
2,1,Angara Shawarma,Spicy Indian-fusion shawarma with fiery charcoal-smoked marinade and mint chutney.,₹229,22900,"[""Chicken"",""Paneer""]","[""Extra Spicy"",""Cheese""]",HOT,,non_veg,4,true,12,1,true
3,1,Peshawari Kebab,"Tender morsels of meat marinated in rich cream, cashew paste, and mild Peshawari spices, grilled to perfection.",₹349,34900,"[""Chicken"",""Mutton""]",[],MUST TRY,,non_veg,2,true,18,2,true
4,1,Changezi Kebab,"Bold, rustic flavors from the streets of Old Delhi, marinated in yogurt and fiery red chilies.",₹329,32900,["Chicken"],[],,,non_veg,4,true,18,3,true
5,2,Mutton Seekh Kebab,"Minced mutton blended with aromatic spices, fresh coriander, and green chilies, skewered and char-grilled.",₹399,39900,["Mutton"],["Roomali Roti"],MUST TRY,,non_veg,3,true,20,0,true
6,2,Chicken Seekh Kebab,"Succulent minced chicken skewers with a delicate blend of cumin, ginger, and garlic.",₹349,34900,["Chicken"],["Roomali Roti"],,,non_veg,2,true,18,1,true
7,3,Tandoori Chicken,"The classic. Half chicken marinated in yogurt, Kashmiri chili, and secret spices, roasted in the tandoor.",₹399,39900,["Chicken"],[],MUST TRY,,non_veg,3,true,25,0,true
8,3,Afghani Chicken,"Creamy, mildly spiced half chicken roasted over charcoal, infused with cardamom and fenugreek.",₹429,42900,["Chicken"],[],,,non_veg,1,true,25,1,true
9,4,Butter Chicken,"Char-grilled chicken tikka simmered in a rich, velvety tomato and butter gravy.",₹449,44900,"[""Chicken"",""Paneer""]",["Garlic Naan"],MUST TRY,,non_veg,2,true,20,0,true
10,4,Yemeni Mandi,Aromatic long-grain basmati rice slow-cooked with proprietary Middle Eastern spices and tender slow-roasted meat.,₹599,59900,"[""Chicken"",""Mutton""]","[""Extra Rice"",""Spicy Salsa""]",MUST TRY,,non_veg,2,true,30,1,true
11,5,Roomali Roti,"Paper-thin soft bread, perfect for wrapping and dipping.",₹40,4000,[],[],,,veg,0,true,5,0,true
12,5,Garlic Naan,Tandoor-baked flatbread brushed with butter and minced garlic.,₹70,7000,[],[],,,veg,0,true,8,1,true
